INDEX,rank display,institution,location code,size,research,focus,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ger score,ger rank,ifr score,ifr rank,irn score,irn rank,isr score,isr rank,SUS SCORE,SUS RANK,Overall Score
1,1,Massachusetts Institute of Technology (MIT),US,M,VH,CO,B,100,4,100,2,100,11,100,9,100,8,99.3,100,96,58,86.8,143,99,15=,100
2,2,Imperial College London,GB,L,VH,FC,A,98.5,22,99.5,11,98.2,45,93.9,54,93.4,61,100,66,97.4,34,99.6,44,99.7,6,98.5
3,3,University of Oxford,GB,L,VH,FC,A,100,2,100,5,100,8,84.8,93,100,3,98.1,120,100,1,97.7,73,85,126,96.9
4,4,Harvard University,US,L,VH,FC,B,100,1,100,1,96.3,53,100,1,100,1,74.1,269,99.6,5,69,215,84.4,130,96.8
5,5,University of Cambridge,GB,L,VH,FC,A,100,3,100,4,100,17,84.6,96,100,5,100,73,99.3,10,94.8,98,84.8,127=,96.7
6,6,Stanford University,US,L,VH,FC,B,100,5,100,3,100,12,99,27,100,2,70.3,284,96.8,45,60.8,244,81.2,148=,96.1
7,7,ETH Zurich - Swiss Federal Institute of Technology,CH,L,VH,FO,A,98.8,19,87.2,57,65.9,199,97.9,35,90.5,73,100,25,95.7,64,98.6,63,98.8,18,93.9
8,8,National University of Singapore (NUS),SG,XL,VH,FC,A,99.5,15,91.1,48,68.8,189,93.1,61,100,6,100,41,91.6,146,88.9,129,97.7,26=,93.7
9,9,UCL,GB,XL,VH,FC,A,99.5,14,98.3,18,95.9,56,72.2,145,70.3,157,99,106,99.9,2,100,21,74.8,190=,91.6
10,10,California Institute of Technology (Caltech),US,S,VH,CO,B,96.5,29,95.3,33,100,4,100,5,31,407,100,65,65.5,549,79.8,172,62.5,253,90.9
11,11,University of Pennsylvania,US,L,VH,FC,B,96.3,31,91.9,45,99.8,28,74,138,100,7,90.9,188,91.9,137,66.2,226,93,71,90.3
12,12,"University of California, Berkeley (UCB)",US,XL,VH,FC,A,100,6,100,6,23.5,615,98.2,33,98.4,23,91.5,182,97.2,39,61,242,100,2,90.1
13,13,The University of Melbourne,AU,XL,VH,FC,A,98.5,21,93.9,39,15.4,701+,93,62,96.5,39,95.1,148,97.4,33,99.8,39,99.6,9,88.9
14,14,Peking University,CN,XL,VH,FC,A,99.5,13,96.6,28,92.6,75,97.7,40,94.2,56,50.3,365,79.8,329,23.6,497,46.9,330=,88.5
15,15,"Nanyang Technological University, Singapore (NTU)",SG,L,VH,FC,A,91.9,42,73.3,92,80.6,130,92.4,66,83.9,104,100,42,89.4,178,83.5,160,95.6,50=,88.4
16,16,Cornell University,US,L,VH,FC,B,98.3,25,93.1,42,52.7,289,97.5,43,97.1,34,54.2,347,94,99,63.4,237,72.1,208=,87.9
17,17,The University of Hong Kong,HK,L,VH,FC,A,97.4,27,59.4,135,81.2,124,86.4,89,99.7,14,100,33,81.4,300,99.3,52,89.2,101=,87.6
18,18,The University of Sydney,AU,XL,VH,FC,A,96.4,30,90,51,10.9,701+,93.7,56,93.1,63,99.9,87,95.8,61,100,17,99.6,7,87.3
19,19,The University of New South Wales (UNSW Sydney),AU,XL,VH,FC,A,90.5,43,90.4,50,20.6,660,94.9,49,97.7,29,100,57,98.3,20,99.4,48,99.2,11=,87.1
20,20,Tsinghua University,CN,XL,VH,FC,A,99.2,16,97.7,22,95,62,99.1,26,92.3,68,18.1,623,79.2,337,13.4,654,40.4,363=,86.5
21,21,University of Chicago,US,L,VH,FC,B,99.1,17,96.4,29,94.2,69,60.8,197,99.1,16,79,244,85.1,245,87,140,46.9,330=,86.2
22,22,Princeton University,US,M,VH,CO,B,99.8,10,98.3,19,57,258,100,3,95.7,48,9.6,701+,78.3,354,56.6,264,51.5,312,85.5
23,23,Yale University,US,L,VH,FC,B,99.9,9,99.9,7,100,3,38.6,363,98.5,21,91.5,181,93.9,100,63.3,238,92.2,76=,85.2
24,24,Université PSL,FR,L,VH,CO,A,74.4,81,97.6,23,98.1,46,87.6,85,97.1,33,62.3,315,99.8,3,65,230,73.4,197,84.7
25,25,University of Toronto,CA,XL,VH,FC,A,99.7,11,96.9,27,44.9,344,50.8,257,98.7,19,96.9,132,97.7,29,96.1,90,100,1,84.1
26,26,EPFL,CH,M,VH,FO,A,84.2,56,67.2,111,91.2,80,93.6,57,27.2,440,100,28,81.7,291,100,14,86.7,114=,83.5
27,27,The University of Edinburgh,GB,XL,VH,FC,A,98.3,24,97.2,24,65.5,201,47.7,282,55.9,222,98.7,111,99.5,7,99.8,41,99,15=,83.3
28,28,Technical University of Munich,DE,XL,VH,FO,A,83,61,98.6,17,76.8,155,75.9,133,34.5,365,80.4,236,95.6,68,98.6,64,93.1,70,83.2
29,29,McGill University,CA,L,VH,FC,A,94.3,34,87.6,56,62.3,224,57.9,212,98.3,24,83.7,225,94.2,94,89.6,124,99.1,13,83
30,30,The Australian National University,AU,L,VH,FC,A,93.8,36,75.4,85,34.6,457,84.6,97,56.6,216,100,52,91.4,151,96.2,89,97.1,30=,82.4
31,31,Seoul National University,KR,L,VH,FC,A,98.5,20,98.6,16,83.1,117,71.7,151,100,4,10.5,701+,73.2,435,16.9,586,96,46=,82.3
32,32,Johns Hopkins University,US,L,VH,FC,B,86,53,62.6,129,100,7,84.2,99,71.5,152,63.7,307,98.7,15,95.8,92,61.9,258=,82.1
33,32,The University of Tokyo,JP,L,VH,FC,A,100,7,99.8,9,89.3,89,57.3,215,99.9,10,10.1,701+,87.4,207,29.7,432,98.3,22,82.1
34,34,Columbia University,US,XL,VH,FC,B,99.6,12,98.8,15,100,16,31.7,417,99.9,9,41.5,413,98.5,19,97,79,71.8,211=,82
35,34,The University of Manchester,GB,XL,VH,FC,A,95.6,33,98.1,20,51.3,297,45.1,307,87.6,90,93.1,169,99.2,12,99.2,55,99.8,3,82
36,36,The Chinese University of Hong Kong (CUHK),HK,L,VH,FC,A,86.7,51,53.3,159,64.2,212,92.9,64,89,82,100,58,74.2,419,87.5,137,86.7,114=,81.3
37,37,Monash University,AU,XL,VH,FC,A,89.2,47,79.6,78,9.4,701+,87.6,84,79.4,126,100,59,94.8,81,100,24,98.2,23,81.2
38,38,University of British Columbia,CA,XL,VH,FC,A,98.3,23,94.3,36,34.5,459,57.7,214,74.6,141,95.5,142,96.2,53,72.8,200,99.8,4,81
39,39,Fudan University,CN,XL,VH,FC,A,85.7,54,87.8,55,79.7,140,80.7,107,64.4,183,88.4,201,67.2,519,35.1,390,82.7,142,80.3
40,40,King's College London,GB,XL,VH,FC,A,90.3,44,85.7,64,64.3,210,53.6,238,59.8,205,99.1,103,98.6,17,99.5,47,96.2,44=,80.2
41,40,The University of Queensland,AU,XL,VH,FC,A,86.7,50,74,89,21.2,653,90.2,75,56.7,214,100,54,96.7,47,100,23,96.7,36,80.2
42,42,"University of California, Los Angeles (UCLA)",US,XL,VH,FC,A,100,8,99.8,8,35.4,448,74,137,94.7,53,42.2,407,95.5,69,22.3,515,67.1,232=,79.8
43,43,New York University (NYU),US,XL,VH,FC,B,96.3,32,98.8,14,90.5,83,28.6,453,98.4,22,30.2,492,92.6,126,98.1,68,95.4,55=,79.6
44,44,University of Michigan-Ann Arbor,US,XL,VH,FC,A,97.9,26,92.1,43,80.3,133,47.6,284,94.5,55,65.5,299,95.8,63,39.2,359,62.2,254=,79
45,45,Shanghai Jiao Tong University,CN,XL,VH,FC,A,84,57,86.3,62,58.6,251,99.6,17,73.5,144,23.1,558,73.7,424,19.6,553,80.3,154,77.8
46,46,Institut Polytechnique de Paris,FR,M,VH,CO,A,44.7,189,99.6,10,95.9,55,86.1,92,97.7,31,99.1,104,89.6,173,98,71,54.8,289=,77.5
47,47,The Hong Kong University of Science and Technology,HK,M,VH,FO,A,81.1,68,50.3,179,56.7,261,99.7,16,65.4,180,100,22,46.7,701+,95.4,94,77.6,170=,77.1
48,47,Zhejiang University,CN,XL,VH,FC,A,75.3,79,95.4,32,54.7,277,99.5,19,55.5,224,95,149,91.8,138,15.9,608,30.7,440=,77.1
49,49,Delft University of Technology,NL,L,VH,CO,A,74.4,82,83,66,39.4,396,79.7,110,54.8,227,100,69,93.7,105,91.4,117,99.1,14,77
50,50,Kyoto University,JP,L,VH,FC,A,98.8,18,99,13,94.2,68,39.3,357,72.8,147,15.9,653,85.7,236,19,566,85.2,124=,76
51,50,Northwestern University,US,L,VH,FC,B,84,58,68,107,97.6,48,67.7,161,96.8,37,45.4,393,89.4,179,52,283,55.4,285=,76
52,50,The London School of Economics and Political Science (LSE),GB,L,VH,SP,A,67.2,101,97,26,35.1,452,69.4,158,99.6,15,100,40,81.2,305,100,12,91.3,85,76
53,53,KAIST - Korea Advanced Institute of Science & Technology,KR,M,VH,CO,A,87.7,48,91,49,60.2,238,96.2,46,63.3,187,21.1,587,46.8,701+,10.9,701+,60.3,268,75.7
54,54,University of Bristol,GB,L,VH,FC,A,75.8,78,82.5,69,36.7,437,75.9,134,51.2,250,87.5,206,94.6,84,89.8,121,98.9,17,75.4
55,55,University of Amsterdam,NL,XL,VH,FC,A,83.8,60,52.1,163,21.4,648,92.2,67,79.8,124,96,139,96.3,50,87.5,138,38.2,384=,73.7
56,56,Yonsei University,KR,L,VH,FC,B,81.5,67,97,25,84.2,112,44.1,312,87.8,88,20.7,590,78.7,343,51.2,287,88.9,103=,72.9
57,57,The Hong Kong Polytechnic University,HK,L,VH,CO,A,68,99,35.6,265,65,204,94.9,51,64.5,181,100,39,78.9,338,91.9,110,77.4,173=,72.1
58,58,Carnegie Mellon University,US,L,VH,FC,B,69.8,92,80.1,75,40.9,383,98.9,28,61.5,196,33.7,472,79.9,324,99.1,58,24.5,492=,72
59,59,Ludwig-Maximilians-Universität München,DE,XL,VH,FC,A,92.2,41,86.6,59,38.5,410,50,262,66.9,173,75.1,262,95.5,71,37.6,374,62.2,254=,71.6
60,60,Universiti Malaya (UM),MY,L,VH,FC,A,82.9,62,95.1,34,75.7,163,29.1,447,69.3,163,60.2,324,91.8,140,64.2,234,83.6,132=,71.2
61,61,Duke University,US,L,VH,FC,B,86,52,74.7,86,100,6,35.1,382,85.5,99,16.3,647,93.3,111,61,243,75,186=,70.8
62,62,City University of Hong Kong,HK,M,VH,CO,A,60.9,120,30.8,305,89.5,88,100,6,37.5,342,100,13,62.9,588,100,7,72.9,201,70.7
63,63,KU Leuven,BE,XL,VH,FC,A,84.6,55,49.6,181,7.1,701+,91,72,75.3,139,93.8,163,99.5,8,47.7,305,51.2,313=,70.3
64,63,Sorbonne University,FR,XL,VH,FC,A,87.2,49,52,166,43,363,72.3,144,79.7,125,33.8,471,99.8,4,46.7,315,87.6,111,70.3
65,65,The University of Auckland,NZ,XL,VH,FC,A,82.2,65,44.7,205,15.5,701+,66.9,166,92.9,64,100,76,87.4,206,84,156,99.7,5,69.7
66,66,University of Texas at Austin,US,XL,VH,FC,A,93.5,38,86.6,60,8.1,701+,76.7,128,81.7,113,6.1,701+,91.7,144,11.7,685,52.1,305=,69.5
67,67,Korea University,KR,L,VH,FC,B,78.2,72,93.8,40,73,178,45,308,89,81,15.2,665,65.7,547,45.7,321,85.2,124=,69
68,68,National Taiwan University (NTU),TW,XL,VH,FC,A,93.4,39,92.1,44,25.5,583,44.3,310,99.9,11,16.7,644,71.5,459,27.4,451,90,94=,68.7
69,69,The University of Warwick,GB,L,VH,FC,A,72.2,86,86.4,61,35.5,445,37.7,367,65.7,175,98.1,119,94.2,92,99.1,57,89.7,98,68.2
70,69,University of Illinois at Urbana-Champaign,US,XL,VH,FC,A,83.9,59,75.7,84,6.4,701+,77.5,124,81.7,114,14,686,90.4,165,56.3,266,65,241=,68.2
71,71,Universidad de Buenos Aires (UBA),AR,XL,VH,FC,A,94.1,35,94.1,38,71.7,183,1.6,701+,99.8,13,63.9,305,73.4,430,64.6,232,51.8,310=,67.6
72,72,"University of California, San Diego (UCSD)",US,XL,VH,FC,A,89.3,45,57.8,140,50.8,304,67,165,21.7,525,54.6,342,95.5,70,44.3,328,44.3,348=,67.1
73,73,Université Paris-Saclay,FR,XL,VH,CO,A,60.7,121,99.1,12,99.8,25,35,384,70.8,155,35.7,448,98.6,16,58.6,253,72.6,202=,67
74,74,KTH Royal Institute of Technology,SE,L,VH,FO,A,45.2,186,55.6,149,62.3,225,86.1,91,62.4,191,92,175,91.1,155,65.9,227,94.8,58,65.7
75,75,Lund University,SE,L,VH,FC,A,68.3,96,52.5,160,55.5,271,44.6,309,86.5,95,97.4,124,96.7,48,73.4,198,99.6,8,65.6
76,76,University of Washington,US,XL,VH,FC,A,81.9,66,55.5,150,28.6,542,78.8,119,68.7,170,11,701+,95.6,67,32.8,407,66.5,235,65.3
77,77,The University of Western Australia,AU,L,VH,FC,A,55.5,141,41.8,225,13.1,701+,98.8,30,78,128,100,37,94.2,95,99.8,40,50.8,315=,65.2
78,78,University of Glasgow,GB,XL,VH,FC,A,77.4,75,67.7,110,38,418,32.5,405,33.5,378,95.7,141,97.6,30,99.4,49,98.5,20,65
79,79,Brown University,US,M,VH,FC,B,59.9,123,49.6,180,77.7,151,76.4,130,63.6,186,79.9,239,83.2,277,50.9,289,46.6,333,64.7
80,80,University of Birmingham,GB,XL,VH,FC,A,68.9,94,69,105,39,402,40.5,348,44.5,285,92.6,171,97.5,31,89.3,127,96.8,35,64.1
81,80,University of Southampton,GB,L,VH,FC,A,50.1,161,44.3,208,40.7,385,83.4,100,49.2,261,92.5,173,97.1,40,98,70,96.9,34,64.1
82,82,The University of Adelaide,AU,L,VH,FC,A,56,138,38.9,242,17.9,701+,87,86,51.5,246,100,78,93.6,108,99.3,53,95.7,49,63.8
83,82,University of Leeds,GB,XL,VH,FC,A,70.5,91,75.9,83,36.4,438,39.8,355,50.9,251,82.5,230,98.8,14,88.5,132,71.8,211=,63.8
84,84,Ruprecht-Karls-Universität Heidelberg,DE,L,VH,FO,A,76.9,76,59.4,136,99.4,32,32.7,401,25.2,463,54.2,346,94.5,88,53.6,275,77.6,170=,63.7
85,84,Tokyo Institute of Technology (Tokyo Tech),JP,M,VH,FO,A,75.1,80,94.1,37,84.1,114,43.1,320,23.7,475,23.4,556,61.2,613,30.5,424,62.2,254=,63.7
86,86,Osaka University,JP,L,VH,FC,A,82.4,64,87,58,45.2,343,54.9,232,33,387,23.9,549,68.2,512,12.2,675,68,228=,63.5
87,87,"Trinity College Dublin, The University of Dublin",IE,L,VH,FC,A,69.5,93,47.4,195,20.2,668,58.4,210,88.6,83,99.3,101,91.3,153,88,133,57.7,276=,62.9
88,88,University of Technology Sydney,AU,L,VH,CO,A,43.9,194,55,153,9.8,701+,97.7,39,40.2,318,96.6,133,91.4,150,86,145,96.3,43,62.4
89,89,Durham University,GB,L,VH,FC,A,59.6,126,83.9,65,26.3,567,40.9,342,39.4,326,97.3,125,89.7,172,84.9,153,98.6,19,61.7
90,89,Pennsylvania State University,US,XL,VH,FC,A,76.6,77,64.5,121,25,592,55.4,226,61.9,193,25.1,533,97.9,28,28,446,96.5,37=,61.7
91,89,Purdue University,US,XL,VH,FC,A,63.3,107,81.1,71,11.4,701+,54.3,235,63.1,188,79.6,242,92.9,123,45.2,325,90.1,93,61.7
92,92,Universidade de São Paulo,BR,XL,VH,FC,A,92.8,40,74.6,87,21.4,646,28.5,456,97.9,27,6.8,701+,95.9,60,2.1,701+,93.6,67,61.6
93,93,Pontificia Universidad Católica de Chile (UC),CL,L,VH,FC,B,93.7,37,98,21,23.7,614,8.8,701+,99.9,12,26,524,82.5,285,3.7,701+,79.3,159=,61.5
94,94,Lomonosov Moscow State University,RU,XL,VH,FC,A,78,73,82.3,70,99.7,30,4.1,701+,95.8,47,19.7,604,88.1,196,91.5,114,3.5,701+,61.4
95,94,Universidad Nacional Autónoma de México (UNAM),MX,XL,VH,FC,A,97,28,94.4,35,37.4,430,2.4,701+,93.2,62,7.5,701+,93.2,112,2.3,701+,83.4,136=,61.4
96,96,University of Alberta,CA,XL,VH,FC,A,57,136,42.2,222,39.1,400,61.3,194,70,159,98.3,116,96,55,71,207,97.6,28,61.2
97,97,Freie Universitaet Berlin,DE,L,VH,FC,A,80.3,71,56.9,143,5,701+,71.7,150,32.8,389,62.4,314,93.1,113,43.7,330,31.3,435=,60.6
98,98,Pohang University of Science And Technology (POSTECH),KR,S,VH,FO,B,45.9,178,80,76,99.9,24,96.9,45,11,701+,27.6,511,26.6,701+,2.7,701+,36.6,393=,60.3
99,99,RWTH Aachen University,DE,XL,VH,FC,A,46.6,173,93.7,41,6.3,701+,71.9,149,33.4,379,48.6,373,86.1,233,85.5,149,84.8,127=,59.9
100,100,University of Copenhagen,DK,XL,VH,FC,A,74,83,31.6,299,99.8,27,23.1,519,90.8,72,84.9,221,98.2,22,15.6,613,73.2,198=,59.6
101,101,King Fahd University of Petroleum & Minerals,SA,M,VH,FO,A,38,226,46.5,198,86,101,78,121,97.8,28,100,26,73.9,422,47.6,307,20.1,530=,59.5
102,102,"KIT, Karlsruhe Institute of Technology",DE,L,VH,CO,A,44.9,188,80.9,74,39.4,395,68.4,160,50.8,252,70.5,282,86.4,225,42.9,337,75.3,184=,59.4
103,103,Uppsala University,SE,L,VH,FC,A,61.4,115,33.7,277,52,292,42.3,326,68.4,171,99.4,99,96.7,49,81.1,170,99.2,11=,59.3
104,104,University of St Andrews,GB,M,VH,FO,A,46.5,174,63.2,126,64.7,206,49.2,272,18.5,594,98.4,113,83.8,266,100,29,91.1,86=,59.2
105,105,The University of Sheffield,GB,L,VH,FC,A,58.3,132,48.7,187,52.5,290,43.9,313,33.8,374,83.3,228,95.8,62,96.8,80,97.7,24=,59.1
106,105,Utrecht University,NL,XL,VH,FC,A,66.5,103,38.8,244,31,508,79.5,112,54.7,228,55.7,337,97.3,37,19.4,559,61.9,258=,59.1
107,107,Tohoku University,JP,L,VH,FC,A,73.8,84,82.8,67,97.8,47,23.9,510,22.6,507,14.1,682,68.3,510,11.4,689,78.6,164=,58.8
108,108,Boston University,US,L,VH,FC,B,61.9,111,69.1,104,38.3,413,41.3,336,77.2,132,34.3,468,86.9,216,88.9,130,65.9,236=,58.6
109,108,University of Nottingham,GB,XL,VH,FC,A,61.1,117,65.8,116,32.8,481,37.6,368,38,339,89.4,194,98,25,70.5,208,97,33,58.5
110,109,Technical University of Denmark,DK,M,VH,FO,A,33.2,265,22.1,421,99.1,34,84.4,98,43.6,293,100,55,88.1,194,87.7,135,47.9,328,58.3
111,109,University of Zurich,CH,L,VH,FO,A,59.9,124,26.4,361,92.2,78,40.1,352,88.6,84,100,71,94.3,90,42.8,338,58.7,273=,58.3
112,111,Politecnico di Milano,IT,XL,VH,FO,A,70.8,90,77,82,5.8,701+,40.2,351,52.9,239,67.4,292,88.1,197,56.8,262,72.6,202=,58.2
113,113,Aalto University,FI,L,VH,FO,A,45.7,180,40.6,231,33.2,476,73.6,141,95.1,52,95.2,146,78.2,355,40.1,354,94.7,59,57.9
114,114,Georgia Institute of Technology,US,XL,VH,CO,A,67.1,102,82.6,68,20.3,665,52.8,243,43.1,298,21.3,584,75.5,397,66.4,224,39.5,371=,57.3
115,115,University of Waterloo,CA,XL,VH,CO,A,40.4,211,64.2,124,6.5,701+,78.9,118,58.9,209,75.8,257,84.6,256,71.3,206,93.3,68=,57.2
116,116,University of Wisconsin-Madison,US,XL,VH,FC,A,77.7,74,47.8,193,74.3,170,23.7,513,81.6,116,35.3,454,91.6,149,23.6,498,59.6,269=,57.1
117,117,University of Helsinki,FI,L,VH,CO,A,62.3,110,29.1,324,59.4,246,49.6,267,90.5,74,73.4,272,96.9,43,5.7,701+,94.5,60,56.8
118,118,Indian Institute of Technology Bombay (IITB),IN,L,VH,FO,A,58.5,131,86,63,14.4,701+,79.1,116,64.5,182,4.3,701+,52.3,701+,1.3,701+,52.5,302=,56.3
119,119,University of Oslo,NO,L,VH,FC,A,55.6,139,16,534,73.8,175,55.7,225,80.9,121,91.6,180,97.3,35,31.7,416,72.1,208=,56.1
120,120,Queen Mary University of London,GB,L,VH,FC,A,48.3,170,36.9,254,30.4,515,62.8,184,21.4,534,99.5,96,92.5,127,99.2,54,95.6,54,55.8
121,120,Western University,CA,XL,VH,FC,A,32.6,270,38.9,243,3.3,701+,93.4,60,96.7,38,99.8,94,81.5,296,49.5,299,99.3,10,55.8
122,122,Qatar University,QA,M,VH,FC,A,29.8,297,50.6,175,68.1,191,48.2,277,98.6,20,100,24,89.4,177,96.5,83,74,196,55.7
123,123,RMIT University,AU,XL,VH,CO,A,40.4,210,48,192,5.2,701+,77.7,122,38.4,334,100,45,83.2,276,91.4,116,93.9,62=,55.5
124,123,Sungkyunkwan University(SKKU),KR,L,VH,FC,B,57.9,134,70.7,100,80.5,131,41.3,338,36.5,348,17.5,632,54.2,701+,41.7,341,79.1,161=,55.5
125,125,University of Southern California,US,XL,VH,FC,B,50.4,160,54.5,156,17.3,701+,58,211,92.6,66,26,523,85.8,235,74.1,192,97.7,24=,55.2
126,126,Humboldt-Universität zu Berlin,DE,XL,VH,FC,A,89.2,46,69.9,102,7.4,701+,27,476,19,580,69.1,288,93.1,114,35.1,391,19.9,535=,55
127,126,University College Dublin,IE,L,VH,FC,A,51.4,158,43.5,210,16.6,701+,46.4,298,89.8,77,99.1,105,87.2,212,74.8,188,95.6,50=,55
128,128,Stockholm University,SE,L,VH,CO,A,52.5,155,21,436,26.7,563,64.5,174,86.6,94,80.7,235,95.7,65,89.8,122,58.7,273=,54.8
129,129,Newcastle University,GB,L,VH,FC,A,50,164,59.3,137,39.2,399,38.7,362,31.3,403,89.5,193,97.1,42,68.6,217,97.1,30=,54.5
130,130,"University of California, Davis",US,XL,VH,FC,A,63,109,48,191,23.5,617,52.5,246,22.8,501,72.7,275,90.6,163,51.3,286,76.1,178=,54.4
131,131,University of Basel,CH,M,VH,FC,A,26.6,331,13.5,601+,61.4,232,94.5,53,69.9,160,100,44,89.4,176,85.8,147,44.6,343=,54.3
132,132,Sapienza University of Rome,IT,XL,VH,FC,A,80.7,70,48.5,189,5,701+,45.3,305,88,87,3.1,701+,97.1,41,8,701+,72.3,205=,54.2
133,133,Alma Mater Studiorum - University of Bologna,IT,XL,VH,FC,A,80.8,69,47.8,194,3.7,701+,46.6,296,53.8,232,14.5,672,96,56,12.3,672,88.4,108,54.1
134,133,Macquarie University,AU,L,VH,FC,A,33.4,262,39.2,241,9.1,701+,79.6,111,54.1,231,99.9,88,90.9,157,91.6,112,95,57,54.1
135,133,University of Science and Technology of China,CN,L,VH,CO,A,50,162,23.7,402,94.7,63,97.7,38,31.9,395,11.6,701+,75.7,393,5.1,701+,11.9,622,54.1
136,136,Eindhoven University of Technology,NL,M,VH,FO,A,28.7,306,72.1,96,35.7,442,79.3,114,24.2,468,100,75,70.8,472,82.7,164,29.8,445=,54
137,137,University of Vienna,AT,XL,VH,FC,A,70.9,89,40.4,235,23.2,619,13,667,89.7,78,100,70,96,57,92,109,60.9,265,53.9
138,138,Universiti Kebangsaan Malaysia (UKM),MY,L,VH,FC,A,61.7,113,66.4,114,80.4,132,14.1,651,22.5,510,45.7,392,83.7,269,78.8,175,64.4,243=,53.8
139,139,Chalmers University of Technology,SE,M,VH,FO,B,26.3,338,50.4,177,50.5,306,77.4,125,31.7,399,100,56,77,378,63.1,240,87,113,53.7
140,139,Universidad de Chile,CL,XL,VH,FC,A,82.8,63,90,52,8,701+,11.2,701+,96.1,42,8.5,701+,77.1,377,4.5,701+,64.1,245=,53.7
141,141,Lancaster University,GB,L,VH,FC,A,38.9,222,36.7,255,27.7,551,69.6,157,28.8,431,93.3,166,89.7,171,92.3,105,96.2,44=,53.6
142,141,Leiden University,NL,XL,VH,FC,A,68.4,95,32.9,288,21.3,649,54.5,234,48.8,263,85,220,95.2,72,51.7,284,25.5,488=,53.6
143,141,Rice University,US,M,VH,CO,B,39.1,220,27.3,350,62.5,222,87.9,83,29.5,421,77.5,247,62.2,602,94.1,99,20.6,529,53.6
144,144,Aarhus University,DK,L,VH,FC,A,54.7,144,27.6,349,30.8,509,63.8,177,69.5,162,89.8,192,96.1,54,11.9,682,76.4,176=,53.3
145,145,Nanjing University,CN,XL,VH,FC,A,57.1,135,32.5,290,35.6,443,93,63,29,430,61.9,317,67.1,520,7.6,701+,16.5,567=,53
146,146,Universiti Sains Malaysia (USM),MY,L,VH,FC,A,63.3,106,69.7,103,46.4,331,19.6,560,20.1,561,24.3,545,87.8,200,96.4,87,71.2,214=,52.7
147,147,Technische Universität Berlin (TU Berlin),DE,L,VH,CO,A,55.3,142,74.3,88,58,252,22.1,530,37.7,341,63.2,311,86.1,232,74.8,187,35.4,400=,52.5
148,148,Universiti Putra Malaysia (UPM),MY,L,VH,FC,A,61,118,61.9,131,58.8,250,25.7,490,17.5,607,36.1,441,80.5,314,92,108,53.5,295=,52.3
149,149,King Abdulaziz University (KAU),SA,XL,VH,FC,A,59.8,125,61.4,133,41.6,374,34.4,387,35.9,353,89.3,195,93.1,118,9.5,701+,58.4,275,52.2
150,150,Indian Institute of Technology Delhi (IITD),IN,M,VH,FO,A,54.1,147,80.9,73,17.3,701+,77.4,126,35.1,361,3.1,701+,63.3,582,1.5,701+,32.7,424=,52.1
151,150,University of Bath,GB,L,VH,CO,A,35.8,245,67.9,109,18.3,701+,52,250,35.2,360,94.3,159,84.2,259,80,171,90.4,92,52.1
152,152,Michigan State University,US,XL,VH,FC,A,59.5,127,48.6,188,11.4,701+,50.3,259,57.1,211,54.5,344,97.5,32,12.4,668,96.3,41=,51.9
153,152,Nagoya University,JP,L,VH,FC,A,63.2,108,65.8,117,84.7,107,25.4,494,21.5,533,14.5,671,64.8,559,19.6,550,75,186=,51.9
154,154,Texas A&M University,US,XL,VH,FC,A,61.2,116,66,115,4.4,701+,64.3,176,44.4,287,21.9,569,92.6,125,12.1,678,39.5,371=,51.8
155,155,University of Geneva,CH,L,VH,FC,A,45.5,183,17.2,499,40.4,387,62.4,189,49.5,258,100,51,94.2,93,97.6,74,42.3,355=,51.6
156,155,"University of North Carolina, Chapel Hill",US,XL,VH,FC,A,61.4,114,36.5,258,72.9,179,47.2,288,55.2,225,23.5,555,91.6,147,11.1,696,44.6,343=,51.6
157,155,Wageningen University & Research,NL,L,VH,CO,A,42.1,204,23.8,401,98.6,43,41.3,336,21.1,542,59.4,328,97.9,27,81.2,169,92.3,75,51.6
158,158,Erasmus University Rotterdam,NL,L,VH,FO,A,37,233,58.2,139,18.1,701+,63.3,182,89.3,80,76,256,85.4,240,70,211,28.7,455,51.5
159,159,University of Groningen,NL,XL,VH,FC,A,52.3,156,34.4,275,49.3,318,41.2,339,40,319,93.2,168,94.1,97,83.5,161,40.1,368,51.3
160,159,Université de Montréal,CA,XL,VH,FC,A,55.5,140,32.8,289,76,160,19.3,566,54.2,229,87.6,205,84.9,247,54.1,273,91.4,81=,51.3
161,161,University of Bern,CH,M,VH,FO,A,29.7,298,16.1,530,45.9,338,99.3,22,30.7,410,100,48,93.8,103,38,370,52.1,305=,51.2
162,162,Hanyang University,KR,L,VH,FC,B,43,199,78,81,77.1,153,28.5,458,43.3,295,17.4,636,63,584,57.6,257,85.8,121=,51.1
163,163,Al-Farabi Kazakh National University,KZ,L,HI,FC,A,54.2,146,79.6,77,99.3,33,1.4,701+,59.6,206,49,370,64.7,561,54.2,272,29.8,445=,51
164,164,Complutense University of Madrid,ES,XL,VH,FC,A,68.1,98,68.1,106,28.7,538,7.9,701+,96.3,41,10.5,701+,91.8,139,34.3,395,88.9,103=,50.9
165,165,Universitat de Barcelona,ES,XL,VH,FC,A,73.7,85,30.3,312,12.4,701+,38.1,364,71.5,153,23.1,559,96.8,44,26.3,461,92.2,76=,50.7
