INDEX,rank display,institution,location code,size,research,focus,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ger score,ger rank,ifr score,ifr rank,irn score,irn rank,isr score,isr rank,SUS SCORE,SUS RANK,Overall Score
821,801-850,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",UA,L,VH,CO,A,16.2,549,31.8,297,37.4,429,1.5,701+,21.3,539,1,701+,20.4,701+,2,701+,4.3,701+,
822,801-850,Ocean University of China,CN,L,VH,FC,A,5.4,601+,2.7,601+,9.4,701+,50.5,258,3,701+,3.2,701+,51.1,701+,1.9,701+,4,701+,
823,801-850,Philipps-Universität Marburg,DE,L,HI,FC,A,12.7,601+,8.8,601+,5.2,701+,25,498,4.8,701+,14.9,666,61.6,607,20.7,529,5.1,701+,
824,801-850,Pontificia Universidad Católica de Valparaíso,CL,L,VH,CO,B,27,325,24.4,395,4.7,701+,6.6,701+,8.7,701+,11.3,701+,39.9,701+,1.6,701+,1.6,701+,
825,801-850,Rutgers University–Newark,US,M,VH,CO,A,10.1,601+,4.9,601+,17.5,701+,17.6,587,36.9,346,25.3,529,27.9,701+,32.7,408,29.3,451=,
826,801-850,Syracuse University,US,L,VH,CO,B,12.9,601+,8.7,601+,11.6,701+,10.6,701+,42.7,301,5.8,701+,55.5,684,39.3,357,11.6,629=,
827,801-850,TU Dortmund University,DE,L,VH,CO,A,14.1,601+,16,532,28.1,548,6.2,701+,6.8,701+,22.4,564,61.1,616,17.1,584,3.7,701+,
828,801-850,The Catholic University of Korea,KR,M,VH,FC,B,4.5,601+,2.9,601+,98.6,42,14.1,652,1.9,701+,3.8,701+,10.5,701+,22.5,511,6.5,701+,
829,801-850,Toronto Metropolitan University,CA,XL,VH,CO,A,8,601+,12,601+,1.8,701+,26.4,481,15.1,660,35.4,453,57,662,8.1,701+,3.8,701+,
830,801-850,Universidad Anáhuac México,MX,L,MD,CO,B,13.1,601+,20.4,446,50,308,1.1,701+,61.8,194,5.3,701+,5.8,701+,3,701+,1,701+,
831,801-850,Universidad Iberoamericana IBERO,MX,M,MD,FC,B,18.5,487,24.3,398,32.3,488,1.3,701+,63.6,185,5.4,701+,5.2,701+,2.2,701+,1.1,701+,
832,801-850,Universidad San Francisco de Quito (USFQ),EC,M,HI,FC,B,16,554,8.6,601+,40.1,390,2.4,701+,13.2,701+,53.1,352,24.9,701+,1.9,701+,21.5,518=,
833,801-850,Universitas Brawijaya,ID,XL,HI,FC,A,19.2,469,42.4,219,11.5,701+,1.4,701+,13.1,701+,13.7,692,19.6,701+,1.4,701+,9,690,
834,801-850,Universiti Tunku Abdul Rahman (UTAR),MY,L,HI,FC,B,14,601+,30.9,304,12.4,701+,5.8,701+,3.8,701+,12.7,701+,45.5,701+,4.9,701+,26.5,476=,
835,801-850,University of Alaska Fairbanks,US,S,VH,CO,A,2.7,601+,2,601+,98.8,41,12.9,670,4.2,701+,4.8,701+,42.6,701+,3,701+,2.5,701+,
836,801-850,University of Alicante,ES,L,VH,FC,A,13.5,601+,6.7,601+,25.3,588,7.7,701+,7.6,701+,7.3,701+,71.7,454,12.8,662,31.3,435=,
837,801-850,University of Baghdad,IQ,XL,VH,FC,A,11,601+,16.9,509,24.6,598,1.5,701+,72.7,148,2.4,701+,63.5,580,1.1,701+,3.1,701+,
838,801-850,University of Bari,IT,L,VH,FO,A,12.4,601+,3,601+,4.6,701+,25,497,7.7,701+,4.9,701+,81.6,292,2,701+,25.7,483=,
839,801-850,University of Brighton,GB,L,VH,FO,A,7.9,601+,6.1,601+,8.5,701+,14.9,639,6.1,701+,54.8,340,72.5,446,51.1,288,6.5,701+,
840,801-850,University of Bucharest,RO,XL,VH,FO,A,15.2,577,19.5,462,7.1,701+,4.2,701+,53.4,235,2.6,701+,69.1,498,2,701+,25.7,483=,
841,801-850,University of Hyderabad,IN,M,VH,FC,A,13.2,601+,3,601+,14.5,701+,41.5,335,3.1,701+,1.9,701+,27,701+,2,701+,1.2,701+,
842,801-850,University of Oregon,US,L,VH,CO,A,18.3,496,9.4,601+,9.4,701+,18.5,573,23.3,485,7.6,701+,53.4,701+,3.6,701+,16.1,577=,
843,801-850,University of Petroleum and Energy Studies (UPES),IN,M,VH,FO,C,21.8,405,6.1,601+,39.5,391,3.4,701+,1.9,701+,18.2,622,56.9,666,1.2,701+,1,701+,
844,801-850,University of Salerno,IT,L,VH,FC,A,8.6,601+,2.4,601+,5.6,701+,37.1,370,4,701+,3.3,701+,87.4,205,1.6,701+,19.2,545=,
845,801-850,University of Stavanger,NO,M,VH,CO,,7.1,601+,5.8,601+,84.6,108,5,701+,10,701+,,,69.6,489,,,5.1,701+,
846,801-850,University of Ulsan,KR,M,VH,FC,B,5,601+,2.3,601+,60,241,33.6,392,3.8,701+,2,701+,28.8,701+,2.4,701+,5.6,701+,
847,801-850,Università degli Studi di Perugia,IT,L,VH,FC,A,9.1,601+,2.3,601+,3.5,701+,40.9,341,1.7,701+,6.4,701+,65.9,542,5.4,701+,11.5,632=,
848,801-850,Universität Duisburg-Essen,DE,XL,VH,FC,A,11.3,601+,4.2,601+,13.2,701+,11.2,701+,12.2,701+,35,457,81.4,298,39.4,355,5.9,701+,
849,801-850,Universität Rostock,DE,L,HI,FC,A,7.3,601+,2.9,601+,84.4,110,5.2,701+,4.4,701+,,,68.8,501,13.2,657,3.4,701+,
850,801-850,Université de Lorraine,FR,XL,VH,FO,A,13.6,601+,3.3,601+,7,701+,12.9,668,14.8,669,27.6,512,95.9,59,27.4,453,11.8,623=,
851,801-850,Wuhan University of Technology,CN,XL,VH,FO,A,6.9,601+,2.5,601+,11.5,701+,47,290,5.8,701+,,,51,701+,2.5,701+,1.5,701+,
852,851-900,AGH University of Science and Technology,PL,L,VH,CO,A,9.6,601+,13.9,587,41.5,376,6.5,701+,3.2,701+,2.9,701+,75.6,395,5.3,701+,1.7,701+,
853,851-900,Al-Quds University,PS,M,MD,FC,A,5.8,601+,14.6,568,12.7,701+,1.7,701+,23.5,482,61.5,318,30.6,701+,66.8,222,3,701+,
854,851-900,Applied Science Private University - Jordan,JO,S,HI,CO,C,9.9,601+,15.7,542,28.6,541,3.1,701+,4.6,701+,39.3,422,10.4,701+,59.7,248,1.8,701+,
855,851-900,CY Cergy Paris University,FR,M,VH,FO,A,3.7,601+,2.5,601+,49.5,317,5,701+,1.5,701+,47.2,378,46,701+,45.9,320,1.4,701+,
856,851-900,Charles Sturt University,AU,L,VH,CO,A,5.1,601+,5.4,601+,8.2,701+,8.1,701+,7.4,701+,45.4,395,53.4,701+,47.9,303,41.7,357,
857,851-900,Chonnam National University,KR,L,VH,FC,A,9.3,601+,4.7,601+,45.4,341,12.4,682,4.7,701+,9,701+,28.5,701+,7.3,701+,44.3,348=,
858,851-900,Chungnam National University,KR,L,VH,FC,A,8.8,601+,7.8,601+,46.3,334,10.7,701+,5,701+,7.2,701+,32.7,701+,9.2,701+,25.7,483=,
859,851-900,Clarkson University,US,S,VH,CO,B,1.3,601+,1.9,601+,13.5,701+,41.8,329,7.9,701+,48.5,374,30.6,701+,15,623,1.2,701+,
860,851-900,Donghua University,CN,L,VH,FO,A,3.8,601+,1.6,601+,25.5,582,47.3,286,3.7,701+,2.2,701+,31.1,701+,3.1,701+,1.1,701+,
861,851-900,Georgia State University,US,L,VH,CO,A,11.3,601+,14.2,580,4.3,701+,22.4,526,18.2,599,4.8,701+,62.3,600,10.4,701+,7.2,701+,
862,851-900,Gulf University for Science and Technology,KW,S,HI,FO,C,14.6,597,9.3,601+,11.2,701+,4.8,701+,11,701+,100,18,9.3,701+,27.7,448,1.1,701+,
863,851-900,Jamia Millia Islamia,IN,M,VH,CO,A,9.3,601+,3.1,601+,33.6,470,26,486,1.9,701+,3.2,701+,43,701+,5.2,701+,1.6,701+,
864,851-900,Kansas State University,US,L,VH,CO,A,8.2,601+,6.7,601+,10.3,701+,22.1,531,13.5,701+,10.1,701+,74.9,411,4.6,701+,10.2,660,
865,851-900,Karaganda State Technical University,KZ,M,HI,FO,A,9.7,601+,7.7,601+,84.6,109,1.1,701+,5.8,701+,10,701+,2.4,701+,18.8,572,1.2,701+,
866,851-900,Kyrgyz Russian Slavic University,KG,M,MD,CO,A,9.3,601+,7,601+,99.8,26,1,701+,24.1,470,,,3.1,701+,,,,,
867,851-900,Mendel University in Brno,CZ,M,VH,FO,A,6.2,601+,6.5,601+,55.1,276,4.1,701+,3.8,701+,11.2,701+,59.1,643,32.1,413,1.2,701+,
868,851-900,Nagasaki University,JP,M,VH,FO,A,6.9,601+,2.3,601+,81,127,6.3,701+,3,701+,5.8,701+,49.2,701+,4.7,701+,2.1,701+,
869,851-900,North-West University,ZA,XL,VH,CO,A,7.4,601+,11,601+,4.9,701+,14.9,638,16.7,619,6.6,701+,92.9,122,2,701+,28.4,456=,
870,851-900,Northwest Agriculture and Forestry University,CN,XL,VH,CO,A,4.5,601+,1.4,601+,28.5,544,36.8,371,3,701+,,,58.8,645,1.4,701+,1.6,701+,
871,851-900,Okayama University,JP,L,VH,FC,A,8.9,601+,3.7,601+,61.3,233,7.7,701+,2.9,701+,6.1,701+,52.5,701+,6.3,701+,14.5,600=,
872,851-900,Oklahoma State University,US,L,HI,FC,A,8.3,601+,8.1,601+,9.2,701+,13.3,663,17.3,610,49.9,366,66.8,526,6.1,701+,9.4,680=,
873,851-900,Pavol Jozef Šafárik University in Košice,SK,M,HI,FC,A,4.7,601+,5.1,601+,59.7,244,3,701+,4.6,701+,5.1,701+,41.7,701+,65.3,228,1,701+,
874,851-900,Poznan University of Life Sciences,PL,M,VH,FO,A,5.6,601+,2.2,601+,94.3,67,6.4,701+,3.3,701+,1.9,701+,31,701+,7.9,701+,1.1,701+,
875,851-900,Shahid Beheshti University (SBU),IR,L,VH,FO,A,7.9,601+,7.3,601+,4.1,701+,33.3,397,19,582,1.6,701+,64.7,563,1.6,701+,1.5,701+,
876,851-900,Swarthmore College,US,S,HI,CO,B,3.4,601+,2.4,601+,88.8,91,11.7,699,15.2,652,8.7,701+,12.3,701+,21.6,520,1,701+,
877,851-900,Technological University Dublin,IE,L,HI,CO,A,12.6,601+,13.1,601+,12.3,701+,3.1,701+,16.2,631,31.8,485,43.9,701+,38.8,362,28.2,461,
878,851-900,Thapar Institute of Engineering & Technology,IN,M,VH,FO,A,4.7,601+,4.4,601+,8.8,701+,46.1,300,3.1,701+,5.2,701+,31.1,701+,1.8,701+,11.8,623=,
879,851-900,Tokyo University of Agriculture and Technology,JP,M,VH,SP,A,13.8,601+,7.4,601+,12.9,701+,30.5,430,1.9,701+,5.4,701+,40.4,701+,7.1,701+,1.3,701+,
880,851-900,UNIVERSITY OF GDANSK,PL,L,VH,CO,A,12,601+,6.2,601+,34.9,454,3.9,701+,14.1,687,4.8,701+,70.6,476,2.4,701+,25.7,483=,
881,851-900,Universidad ORT Uruguay,UY,S,HI,FO,B,11.2,601+,12.4,601+,79,145,1.1,701+,5.7,701+,15.8,655,3.4,701+,1.9,701+,1,701+,
882,851-900,Universidad de Valladolid,ES,L,VH,CO,,10.5,601+,3.8,601+,34.4,460,4.3,701+,11.9,701+,7,701+,80.2,316,3.6,701+,43.9,352,
883,851-900,Universita' degli Studi di Ferrara,IT,L,HI,FC,A,6.7,601+,2.6,601+,2.6,701+,34.6,386,4.1,701+,2.9,701+,70,487,3.6,701+,27.3,468=,
